		Total Processors: 5

----------------|  Proc # 0  |  Proc # 1  |  Proc # 2  |  Proc # 3  |  Proc # 4  | Regular Queue  | Priority Queue |----------------
  Time:    67   | Type A,  2 | Type C, 11 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:    68   | Type D, 21 | Type C, 10 | Type A,  1 | Type B,  8 | Not Active | No queue items | No queue items | 
  Time:    69   | Type D, 20 | Type C,  9 | Not Active | Type B,  7 | Not Active | No queue items | No queue items | 
  Time:    70   | Type D, 19 | Type C,  8 | Type A,  2 | Type B,  6 | Not Active | No queue items | No queue items | 
  Time:    71   | Type D, 18 | Type C,  7 | Type A,  1 | Type B,  5 | Not Active | No queue items | No queue items | 
  Time:    72   | Type D, 17 | Type C,  6 | Not Active | Type B,  4 | Not Active | No queue items | No queue items | 
  Time:    73   | Type D, 16 | Type C,  5 | Not Active | Type B,  3 | Not Active | No queue items | No queue items | 
  Time:    74   | Type D, 15 | Type C,  4 | Not Active | Type B,  2 | Not Active | No queue items | No queue items | 
  Time:    75   | Type D, 14 | Type C,  3 | Type B,  8 | Type B,  1 | Type C, 10 | No queue items | No queue items | 
  Time:    76   | Type D, 13 | Type C,  2 | Type B,  7 | Type A,  1 | Type C,  9 | No queue items | No queue items | 
  Time:    77   | Type D, 12 | Type C,  1 | Type B,  6 | Not Active | Type C,  8 | No queue items | No queue items | 
  Time:    78   | Type D, 11 | Not Active | Type B,  5 | Not Active | Type C,  7 | No queue items | No queue items | 
  Time:    79   | Type D, 10 | Not Active | Type B,  4 | Not Active | Type C,  6 | No queue items | No queue items | 
  Time:    80   | Type D,  9 | Not Active | Type B,  3 | Not Active | Type C,  5 | No queue items | No queue items | 
  Time:    81   | Type D,  8 | Not Active | Type B,  2 | Not Active | Type C,  4 | No queue items | No queue items | 
  Time:    82   | Type D,  7 | Type D, 19 | Type B,  1 | Type A,  2 | Type C,  3 | Q Total:     1 | No queue items | 
  Time:    83   | Type D,  6 | Type D, 18 | Type B,  8 | Type A,  1 | Type C,  2 | No queue items | No queue items | 
  Time:    84   | Type D,  5 | Type D, 17 | Type B,  7 | Not Active | Type C,  1 | No queue items | No queue items | 
  Time:    85   | Type D,  4 | Type D, 16 | Type B,  6 | Not Active | Not Active | No queue items | No queue items | 
  Time:    86   | Type D,  3 | Type D, 15 | Type B,  5 | Not Active | Not Active | No queue items | No queue items | 
  Time:    87   | Type D,  2 | Type D, 14 | Type B,  4 | Not Active | Not Active | No queue items | No queue items | 
  Time:    88   | Type D,  1 | Type D, 13 | Type B,  3 | Type A,  4 | Not Active | No queue items | No queue items | 
  Time:    89   | Not Active | Type D, 12 | Type B,  2 | Type A,  3 | Not Active | No queue items | No queue items | 
  Time:    90   | Type B,  5 | Type D, 11 | Type B,  1 | Type A,  2 | Not Active | No queue items | No queue items | 
  Time:    91   | Type B,  4 | Type D, 10 | Type C,  6 | Type A,  1 | Not Active | No queue items | No queue items | 
  Time:    92   | Type B,  3 | Type D,  9 | Type C,  5 | Type A,  3 | Not Active | No queue items | No queue items | 
  Time:    93   | Type B,  2 | Type D,  8 | Type C,  4 | Type A,  2 | Not Active | No queue items | No queue items | 
  Time:    94   | Type D,  2 | Type D,  7 | Type C,  3 | Type A,  1 | Type B,  1 | No queue items | No queue items | 
  Time:    95   | Type D,  1 | Type D,  6 | Type C,  2 | Not Active | Not Active | No queue items | No queue items | 
  Time:    96   | Type B,  4 | Type D,  5 | Type C,  1 | Not Active | Not Active | No queue items | No queue items | 
  Time:    97   | Type B,  3 | Type D,  4 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:    98   | Type B,  2 | Type D,  3 | Type A,  5 | Not Active | Not Active | No queue items | No queue items | 
  Time:    99   | Type B,  1 | Type D,  2 | Type A,  4 | Not Active | Not Active | No queue items | No queue items | 
----------------|  Proc # 0  |  Proc # 1  |  Proc # 2  |  Proc # 3  |  Proc # 4  | Regular Queue  | Priority Queue |----------------
  Time:   100   | Not Active | Type D,  1 | Type A,  3 | Not Active | Not Active | No queue items | No queue items | 
  Time:   101   | Type D,  3 | Not Active | Type A,  2 | Not Active | Not Active | No queue items | No queue items | 
  Time:   102   | Type D,  2 | Type B,  5 | Type A,  1 | Not Active | Not Active | No queue items | No queue items | 
  Time:   103   | Type D,  1 | Type B,  4 | Type A,  5 | Not Active | Not Active | No queue items | No queue items | 
  Time:   104   | Not Active | Type B,  3 | Type A,  4 | Not Active | Not Active | No queue items | No queue items | 
  Time:   105   | Type C, 11 | Type B,  2 | Type A,  3 | Not Active | Not Active | No queue items | No queue items | 
  Time:   106   | Type C, 10 | Type B,  1 | Type A,  2 | Not Active | Not Active | No queue items | No queue items | 
  Time:   107   | Type C,  9 | Not Active | Type A,  1 | Not Active | Not Active | No queue items | No queue items | 
  Time:   108   | Type C,  8 | Not Active | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   109   | Type C,  7 | Type A,  2 | Type C, 12 | Not Active | Not Active | No queue items | No queue items | 
  Time:   110   | Type C,  6 | Type A,  1 | Type C, 11 | Type B,  5 | Not Active | No queue items | No queue items | 
  Time:   111   | Type C,  5 | Not Active | Type C, 10 | Type B,  4 | Not Active | No queue items | No queue items | 
  Time:   112   | Type D, 15 | Type C,  4 | Type C,  9 | Type B,  3 | Not Active | No queue items | No queue items | 
  Time:   113   | Type D, 14 | Type C,  3 | Type C,  8 | Type B,  2 | Not Active | No queue items | No queue items | 
  Time:   114   | Type D, 13 | Type C,  2 | Type C,  7 | Type B,  1 | Not Active | No queue items | No queue items | 
  Time:   115   | Type D, 12 | Type C,  1 | Type C,  6 | Type A,  4 | Not Active | No queue items | No queue items | 
  Time:   116   | Type D, 11 | Type D, 20 | Type C,  5 | Type A,  3 | Type B,  6 | No queue items | No queue items | 
  Time:   117   | Type D, 10 | Type D, 19 | Type C,  4 | Type A,  2 | Type B,  5 | No queue items | No queue items | 
  Time:   118   | Type D,  9 | Type D, 18 | Type C,  3 | Type A,  1 | Type B,  4 | No queue items | No queue items | 
  Time:   119   | Type D,  8 | Type D, 17 | Type C,  2 | Type A,  5 | Type B,  3 | No queue items | No queue items | 
  Time:   120   | Type D,  7 | Type D, 16 | Type C,  1 | Type A,  4 | Type B,  2 | No queue items | No queue items | 
  Time:   121   | Type D,  6 | Type D, 15 | Not Active | Type A,  3 | Type B,  1 | No queue items | No queue items | 
  Time:   122   | Type D,  5 | Type D, 14 | Not Active | Type A,  2 | Not Active | No queue items | No queue items | 
  Time:   123   | Type D,  4 | Type D, 13 | Type A,  2 | Type A,  1 | Type B,  8 | No queue items | No queue items | 
  Time:   124   | Type D,  3 | Type D, 12 | Type A,  1 | Type C, 12 | Type B,  7 | No queue items | No queue items | 
  Time:   125   | Type D,  2 | Type D, 11 | Not Active | Type C, 11 | Type B,  6 | No queue items | No queue items | 
  Time:   126   | Type D,  1 | Type D, 10 | Not Active | Type C, 10 | Type B,  5 | No queue items | No queue items | 
  Time:   127   | Not Active | Type D,  9 | Not Active | Type C,  9 | Type B,  4 | No queue items | No queue items | 
  Time:   128   | Not Active | Type D,  8 | Not Active | Type C,  8 | Type B,  3 | No queue items | No queue items | 
  Time:   129   | Type A,  4 | Type D,  7 | Not Active | Type C,  7 | Type B,  2 | No queue items | No queue items | 
  Time:   130   | Type D, 20 | Type D,  6 | Type A,  3 | Type C,  6 | Type B,  1 | Q Total:     1 | No queue items | 
  Time:   131   | Type D, 19 | Type D,  5 | Type A,  2 | Type C,  5 | Type B,  7 | No queue items | No queue items | 
  Time:   132   | Type D, 18 | Type D,  4 | Type A,  1 | Type C,  4 | Type B,  6 | No queue items | No queue items | 
  Time:   133   | Type D, 17 | Type D,  3 | Not Active | Type C,  3 | Type B,  5 | No queue items | No queue items | 
  Time:   134   | Type D, 16 | Type D,  2 | Type C,  8 | Type C,  2 | Type B,  4 | No queue items | No queue items | 
  Time:   135   | Type D, 15 | Type D,  1 | Type C,  7 | Type C,  1 | Type B,  3 | Q Total:     1 | No queue items | 
  Time:   136   | Type D, 14 | Type A,  5 | Type C,  6 | Not Active | Type B,  2 | No queue items | No queue items | 
  Time:   137   | Type D, 13 | Type A,  4 | Type C,  5 | Type B,  8 | Type B,  1 | No queue items | No queue items | 
  Time:   138   | Type D, 12 | Type A,  3 | Type C,  4 | Type B,  7 | Type C,  8 | No queue items | No queue items | 
  Time:   139   | Type D, 11 | Type A,  2 | Type C,  3 | Type B,  6 | Type C,  7 | No queue items | No queue items | 
  Time:   140   | Type D, 10 | Type A,  1 | Type C,  2 | Type B,  5 | Type C,  6 | Q Total:     1 | No queue items | 
  Time:   141   | Type D,  9 | Type A,  3 | Type C,  1 | Type B,  4 | Type C,  5 | No queue items | No queue items | 
  Time:   142   | Type D,  8 | Type A,  2 | Not Active | Type B,  3 | Type C,  4 | No queue items | No queue items | 
  Time:   143   | Type D,  7 | Type A,  1 | Not Active | Type B,  2 | Type C,  3 | No queue items | No queue items | 
  Time:   144   | Type D,  6 | Type D, 10 | Type A,  5 | Type B,  1 | Type C,  2 | Q Total:     1 | No queue items | 
  Time:   145   | Type D,  5 | Type D,  9 | Type A,  4 | Type B,  5 | Type C,  1 | No queue items | No queue items | 
  Time:   146   | Type D,  4 | Type D,  8 | Type A,  3 | Type B,  4 | Not Active | No queue items | No queue items | 
  Time:   147   | Type D,  3 | Type D,  7 | Type A,  2 | Type B,  3 | Not Active | No queue items | No queue items | 
  Time:   148   | Type D,  2 | Type D,  6 | Type A,  1 | Type B,  2 | Not Active | No queue items | No queue items | 
  Time:   149   | Type D,  1 | Type D,  5 | Not Active | Type B,  1 | Not Active | No queue items | No queue items | 
----------------|  Proc # 0  |  Proc # 1  |  Proc # 2  |  Proc # 3  |  Proc # 4  | Regular Queue  | Priority Queue |----------------
  Time:   150   | Type A,  2 | Type D,  4 | Type B,  6 | Type C,  8 | Not Active | No queue items | No queue items | 
  Time:   151   | Type D, 15 | Type D,  3 | Type B,  5 | Type C,  7 | Type A,  1 | No queue items | No queue items | 
  Time:   152   | Type D, 14 | Type D,  2 | Type B,  4 | Type C,  6 | Not Active | No queue items | No queue items | 
  Time:   153   | Type D, 13 | Type D,  1 | Type B,  3 | Type C,  5 | Not Active | No queue items | No queue items | 
  Time:   154   | Type D, 12 | Not Active | Type B,  2 | Type C,  4 | Not Active | No queue items | No queue items | 
  Time:   155   | Type D, 11 | Type A,  4 | Type B,  1 | Type C,  3 | Not Active | No queue items | No queue items | 
  Time:   156   | Type D, 10 | Type A,  3 | Not Active | Type C,  2 | Not Active | No queue items | No queue items | 
  Time:   157   | Type D,  9 | Type A,  2 | Type B,  8 | Type C,  1 | Not Active | No queue items | No queue items | 
  Time:   158   | Type D,  8 | Type A,  1 | Type B,  7 | Not Active | Not Active | No queue items | No queue items | 
  Time:   159   | Type D,  7 | Not Active | Type B,  6 | Not Active | Not Active | No queue items | No queue items | 
  Time:   160   | Type D,  6 | Type A,  1 | Type B,  5 | Type C,  7 | Not Active | No queue items | No queue items | 
  Time:   161   | Type D,  5 | Not Active | Type B,  4 | Type C,  6 | Not Active | No queue items | No queue items | 
  Time:   162   | Type D,  4 | Not Active | Type B,  3 | Type C,  5 | Not Active | No queue items | No queue items | 
  Time:   163   | Type D,  3 | Type B,  3 | Type B,  2 | Type C,  4 | Not Active | No queue items | No queue items | 
  Time:   164   | Type D,  2 | Type D,  3 | Type B,  1 | Type C,  3 | Type B,  2 | No queue items | No queue items | 
  Time:   165   | Type D,  1 | Type D,  2 | Not Active | Type C,  2 | Type B,  1 | No queue items | No queue items | 
  Time:   166   | Type A,  3 | Type D,  1 | Not Active | Type C,  1 | Not Active | No queue items | No queue items | 
  Time:   167   | Type A,  2 | Not Active | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   168   | Type A,  1 | Not Active | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   169   | Type B,  2 | Not Active | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   170   | Type B,  1 | Type A,  2 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   171   | Not Active | Type A,  1 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   172   | Not Active | Not Active | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   173   | Not Active | Not Active | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   174   | Not Active | Not Active | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   175   | Type A,  3 | Type B,  3 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   176   | Type A,  2 | Type B,  2 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   177   | Type D,  4 | Type B,  1 | Type A,  1 | Not Active | Not Active | No queue items | No queue items | 
  Time:   178   | Type D,  3 | Type C,  8 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   179   | Type D,  2 | Type C,  7 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   180   | Type D,  1 | Type C,  6 | Type A,  4 | Not Active | Not Active | No queue items | No queue items | 
  Time:   181   | Not Active | Type C,  5 | Type A,  3 | Not Active | Not Active | No queue items | No queue items | 
  Time:   182   | Not Active | Type C,  4 | Type A,  2 | Not Active | Not Active | No queue items | No queue items | 
  Time:   183   | Type B,  8 | Type C,  3 | Type A,  1 | Not Active | Not Active | No queue items | No queue items | 
  Time:   184   | Type D, 22 | Type C,  2 | Type B,  7 | Not Active | Not Active | No queue items | No queue items | 
  Time:   185   | Type D, 21 | Type C,  1 | Type B,  6 | Not Active | Not Active | No queue items | No queue items | 
  Time:   186   | Type D, 20 | Type A,  1 | Type B,  5 | Not Active | Not Active | No queue items | No queue items | 
  Time:   187   | Type D, 19 | Not Active | Type B,  4 | Not Active | Not Active | No queue items | No queue items | 
  Time:   188   | Type D, 18 | Not Active | Type B,  3 | Not Active | Not Active | No queue items | No queue items | 
  Time:   189   | Type D, 17 | Type D, 21 | Type B,  2 | Type C,  7 | Not Active | No queue items | No queue items | 
  Time:   190   | Type D, 16 | Type D, 20 | Type B,  1 | Type C,  6 | Type B,  7 | No queue items | No queue items | 
  Time:   191   | Type D, 15 | Type D, 19 | Not Active | Type C,  5 | Type B,  6 | No queue items | No queue items | 
  Time:   192   | Type D, 14 | Type D, 18 | Type A,  5 | Type C,  4 | Type B,  5 | No queue items | No queue items | 
  Time:   193   | Type D, 13 | Type D, 17 | Type A,  4 | Type C,  3 | Type B,  4 | No queue items | No queue items | 
  Time:   194   | Type D, 12 | Type D, 16 | Type A,  3 | Type C,  2 | Type B,  3 | No queue items | No queue items | 
  Time:   195   | Type D, 11 | Type D, 15 | Type D, 13 | Type C,  1 | Type B,  2 | Q Total:     1 | No queue items | 
  Time:   196   | Type D, 10 | Type D, 14 | Type D, 12 | Type A,  2 | Type B,  1 | Q Total:     1 | No queue items | 
  Time:   197   | Type D,  9 | Type D, 13 | Type D, 11 | Type A,  1 | Type B,  2 | Q Total:     1 | No queue items | 
  Time:   198   | Type D,  8 | Type D, 12 | Type D, 10 | Type A,  1 | Type B,  1 | No queue items | No queue items | 
  Time:   199   | Type D,  7 | Type D, 11 | Type D,  9 | Not Active | Not Active | No queue items | No queue items | 
----------------|  Proc # 0  |  Proc # 1  |  Proc # 2  |  Proc # 3  |  Proc # 4  | Regular Queue  | Priority Queue |----------------
  Time:   200   | Type D,  6 | Type D, 10 | Type D,  8 | Not Active | Not Active | No queue items | No queue items | 
  Time:   201   | Type D,  5 | Type D,  9 | Type D,  7 | Type A,  2 | Not Active | No queue items | No queue items | 
  Time:   202   | Type D,  4 | Type D,  8 | Type D,  6 | Type A,  1 | Not Active | No queue items | No queue items | 
  Time:   203   | Type D,  3 | Type D,  7 | Type D,  5 | Type B,  2 | Not Active | No queue items | No queue items | 
  Time:   204   | Type D,  2 | Type D,  6 | Type D,  4 | Type B,  1 | Not Active | No queue items | No queue items | 
  Time:   205   | Type D,  1 | Type D,  5 | Type D,  3 | Type A,  4 | Not Active | No queue items | No queue items | 
  Time:   206   | Type C,  6 | Type D,  4 | Type D,  2 | Type A,  3 | Not Active | No queue items | No queue items | 
  Time:   207   | Type C,  5 | Type D,  3 | Type D,  1 | Type A,  2 | Not Active | No queue items | No queue items | 
  Time:   208   | Type C,  4 | Type D,  2 | Not Active | Type A,  1 | Not Active | No queue items | No queue items | 
  Time:   209   | Type D,  9 | Type D,  1 | Type C,  3 | Type A,  4 | Type B,  6 | No queue items | No queue items | 
  Time:   210   | Type D,  8 | Not Active | Type C,  2 | Type A,  3 | Type B,  5 | No queue items | No queue items | 
  Time:   211   | Type D,  7 | Not Active | Type C,  1 | Type A,  2 | Type B,  4 | No queue items | No queue items | 
  Time:   212   | Type D,  6 | Not Active | Not Active | Type A,  1 | Type B,  3 | No queue items | No queue items | 
  Time:   213   | Type D,  5 | Type A,  5 | Not Active | Not Active | Type B,  2 | No queue items | No queue items | 
  Time:   214   | Type D,  4 | Type A,  4 | Not Active | Not Active | Type B,  1 | No queue items | No queue items | 
  Time:   215   | Type D,  3 | Type A,  3 | Not Active | Not Active | Not Active | No queue items | No queue items | 
  Time:   216   | Type D,  2 | Type A,  2 | Type C, 11 | Not Active | Not Active | No queue items | No queue items | 
  Time:   217   | Type D,  1 | Type A,  1 | Type C, 10 | Type A,  1 | Type B,  6 | No queue items | No queue items | 
  Time:   218   | Not Active | Not Active | Type C,  9 | Not Active | Type B,  5 | No queue items | No queue items | 
  Time:   219   | Not Active | Not Active | Type C,  8 | Not Active | Type B,  4 | No queue items | No queue items | 
  Time:   220   | Type D, 17 | Not Active | Type C,  7 | Not Active | Type B,  3 | No queue items | No queue items | 
  Time:   221   | Type D, 16 | Not Active | Type C,  6 | Not Active | Type B,  2 | No queue items | No queue items | 
  Time:   222   | Type D, 15 | Type A,  2 | Type C,  5 | Not Active | Type B,  1 | No queue items | No queue items | 
  Time:   223   | Type D, 14 | Type A,  1 | Type C,  4 | Type B,  8 | Not Active | No queue items | No queue items | 
  Time:   224   | Type D, 13 | Not Active | Type C,  3 | Type B,  7 | Not Active | No queue items | No queue items | 
  Time:   225   | Type D, 12 | Not Active | Type C,  2 | Type B,  6 | Not Active | No queue items | No queue items | 
  Time:   226   | Type D, 11 | Type C, 11 | Type C,  1 | Type B,  5 | Not Active | No queue items | No queue items | 
  Time:   227   | Type D, 10 | Type C, 10 | Not Active | Type B,  4 | Not Active | No queue items | No queue items | 
  Time:   228   | Type D,  9 | Type C,  9 | Type A,  4 | Type B,  3 | Not Active | No queue items | No queue items | 
  Time:   229   | Type D,  8 | Type D,  7 | Type A,  3 | Type B,  2 | Type C,  8 | No queue items | No queue items | 
  Time:   230   | Type D,  7 | Type D,  6 | Type A,  2 | Type B,  1 | Type C,  7 | Q Total:     1 | No queue items | 
  Time:   231   | Type D,  6 | Type D,  5 | Type A,  1 | Type B,  4 | Type C,  6 | No queue items | No queue items | 
  Time:   232   | Type D,  5 | Type D,  4 | Type A,  5 | Type B,  3 | Type C,  5 | No queue items | No queue items | 
  Time:   233   | Type D,  4 | Type D,  3 | Type A,  4 | Type B,  2 | Type C,  4 | No queue items | No queue items | 
  Time:   234   | Type D,  3 | Type D,  2 | Type A,  3 | Type B,  1 | Type C,  3 | No queue items | No queue items | 
  Time:   235   | Type D,  2 | Type D,  1 | Type D,  8 | Type A,  2 | Type C,  2 | No queue items | No queue items | 
  Time:   236   | Type D,  1 | Not Active | Type D,  7 | Type A,  1 | Type C,  1 | No queue items | No queue items | 
  Time:   237   | Type C,  8 | Not Active | Type D,  6 | Not Active | Not Active | No queue items | No queue items | 
  Time:   238   | Type C,  7 | Type A,  4 | Type D,  5 | Type B,  7 | Not Active | No queue items | No queue items | 
  Time:   239   | Type C,  6 | Type A,  3 | Type D,  4 | Type B,  6 | Not Active | No queue items | No queue items | 
  Time:   240   | Type C,  5 | Type A,  2 | Type D,  3 | Type B,  5 | Not Active | No queue items | No queue items | 
  Time:   241   | Type C,  4 | Type A,  1 | Type D,  2 | Type B,  4 | Not Active | No queue items | No queue items | 
  Time:   242   | Type C,  3 | Not Active | Type D,  1 | Type B,  3 | Not Active | No queue items | No queue items | 
  Time:   243   | Type C,  2 | Not Active | Not Active | Type B,  2 | Not Active | No queue items | No queue items | 
